Ranking de Población;Nombre;Provincia;Comunidad Autónoma;Población;Número de Hombres;Número de Mujeres
7192;Ababuj;Teruel;Aragón;73;45;28
3360;Abades;Segovia;Castilla y León;848;417;431
4800;Abadía;Cáceres;Extremadura;331;184;147
2044;Abadín;Lugo;Galicia;2367;1157;1210
942;Abadiño;Bizkaia;País Vasco;7599;3815;3784
7034;Abáigar;Navarra;Navarra;83;48;35
7880;Abajas;Burgos;Castilla y León;31;21;10
5234;Ábalos;Rioja, La;La Rioja;257;149;108
4791;Abaltzisketa;Gipuzkoa;País Vasco;333;181;152
7614;Abánades;Guadalajara;Castilla-La Mancha;48;26;22
1112;Abanilla;Murcia;Región de Murcia;6127;3112;3015
6797;Abanto;Zaragoza;Aragón;100;59;41
789;Abanto y Ciérvana-Abanto Zierbena;Bizkaia;País Vasco;9444;4668;4776
605;Abarán;Murcia;Región de Murcia;12964;6479;6485
7673;Abarca de Campos;Palencia;Castilla y León;44;27;17
4022;Abárzuza/Abartzuza;Navarra;Navarra;538;265;273
6397;Abaurregaina/Abaurrea Alta;Navarra;Navarra;126;77;49
7869;Abaurrepea/Abaurrea Baja;Navarra;Navarra;32;19;13
1220;Abegondo;Coruña, A;Galicia;5406;2655;2751
4988;Abejar;Soria;Castilla y León;297;155;142
7621;Abejuela;Teruel;Aragón;48;31;17
5836;Abella de la Conca;Lleida;Cataluña;179;96;83
3452;Abengibre;Albacete;Castilla-La Mancha;790;379;411
2685;Abenójar;Ciudad Real;Castilla-La Mancha;1375;711;664
4668;Aberin;Navarra;Navarra;359;193;166
4470;Abertura;Cáceres;Extremadura;407;205;202
7373;Abezames;Zamora;Castilla y León;61;30;31
7298;Abia de la Obispalía;Cuenca;Castilla-La Mancha;65;40;25
5961;Abia de las Torres;Palencia;Castilla y León;165;89;76
5306;Abiego;Huesca;Aragón;248;130;118
6152;Abizanda;Huesca;Aragón;150;76;74
2816;Abla;Almería;Andalucía;1249;635;614
7391;Ablanque;Guadalajara;Castilla-La Mancha;59;31;28
1994;Ablitas;Navarra;Navarra;2481;1252;1229
621;Abrera;Barcelona;Cataluña;12489;6326;6163
2864;Abrucena;Almería;Andalucía;1202;637;565
5796;Abusejo;Salamanca;Castilla y León;183;98;85
7019;Acebeda, La;Madrid;Comunidad de Madrid;84;44;40
5742;Acebedo;León;Castilla y León;187;107;80
3930;Acebo;Cáceres;Extremadura;579;292;287
5390;Acebrón, El;Cuenca;Castilla-La Mancha;234;115;119
3432;Acedera;Badajoz;Extremadura;807;416;391
3437;Acehúche;Cáceres;Extremadura;801;405;396
3851;Aceituna;Cáceres;Extremadura;607;312;295
5957;Acered;Zaragoza;Aragón;166;98;68
1212;Aceuchal;Badajoz;Extremadura;5449;2711;2738
5851;Adahuesca;Huesca;Aragón;177;96;81
7530;Adalia;Valladolid;Castilla y León;53;33;20
1447;Adamuz;Córdoba;Andalucía;4192;2157;2035
5670;Adanero;Ávila;Castilla y León;196;111;85
150;Adeje;Santa Cruz de Tenerife;Canarias;47869;24110;23759
3070;Ademuz;Valencia/València;Comunidad Valenciana;1042;568;474
6087;Adiós;Navarra;Navarra;155;87;68
7920;Adobes;Guadalajara;Castilla-La Mancha;29;16;13
2578;Ador;Valencia/València;Comunidad Valenciana;1508;804;704
315;Adra;Almería;Andalucía;25148;12833;12315
5618;Adrada de Haza;Burgos;Castilla y León;203;101;102
7756;Adrada de Pirón;Segovia;Castilla y León;39;21;18
1995;Adrada, La;Ávila;Castilla y León;2480;1286;1194
7242;Adradas;Soria;Castilla y León;69;36;33
6405;Adrados;Segovia;Castilla y León;126;73;53
4240;Aduna;Gipuzkoa;País Vasco;469;253;216
