Nombre;Provincia ;Equipo local;Año de Fundación
Madrid;Madrid;Real Madrid C.F.;1902
Madrid;Madrid;Atlético de Madrid;1903
Barcelona;Barcelona;Fútbol Club Barcelona;1899
València;Valencia/València;Valencia Club de Fútbol S.A.D.;1919
València;Valencia/València;Levante Unión Deportiva;1909
Sevilla;Sevilla;Sevilla Fútbol Club;1890
Sevilla;Sevilla;Real Betis Balompié;1907
Zaragoza;Zaragoza;Real Zaragoza;1932
Málaga;Málaga;Málaga Club de Fútbol S.A.D.;1948
Murcia;Murcia;Real Murcia Club de Fútbol;1919
Palma ;Balears, Illes;Real Club Deportivo Mallorca;1916
Palmas de Gran Canaria, Las;Palmas, Las;Unión Deportiva Las Palmas;1949
Bilbao;Bizkaia;Athletic Club;1898
Alicante/Alacant;Alicante/Alacant;Hércules de Alicante Club de Fútbol;1922
Córdoba;Córdoba;Córdoba Club de Fútbol;1954
Valladolid;Valladolid;Real Valladolid Club de Fútbol;1928
Vigo;Pontevedra;Real Club Celta de Vigo;1923
Gijón;Asturias;Real Sporting de Gijón;1905
Hospitalet de Llobregat, L';Barcelona;Fútbol Club Barcelona;1899
Vitoria-Gasteiz;Araba/Álava;Deportivo Alavés S.A.D.;1921
Coruña, A;Coruña, A;Real Club Deportivo de La Coruña;1906
Elche/Elx;Alicante/Alacant;Elche Club de Fútbol;1922
Granada;Granada;Granada Club de Fútbol;1931
Terrassa;Barcelona;Fútbol Club Barcelona;1899
Badalona;Barcelona;Club de Fúbol Badalona;1903
Oviedo;Asturias;Real Oviedo;1926
Cartagena;Murcia;Real Murcia Club de Fútbol;1919
Sabadell;Barcelona;Fútbol Club Barcelona;1899
Jerez de la Frontera;Cádiz;Xerez Club Deportivo;1933
Móstoles;Madrid;Club Deportivo Móstoles;1955
Santa Cruz de Tenerife;Santa Cruz de Tenerife;Club Deportivo Tenerife;1912
Pamplona/Iruña;Navarra;Club Atlético Osasuna;1920
Almería;Almería;Unión Deportiva Almería S.A.D.;1989
Alcalá de Henares;Madrid;Real Sociedad Deportiva Alcalá;1929
Fuenlabrada;Madrid;Club de Fútbol Fuenlabrada;1975
Leganés;Madrid;Club Deportivo Leganés;1928
Donostia/San Sebastián;Gipuzkoa;Real Sociedad de Fútbol;1909
Getafe;Madrid;Getafe Club de Fútbol;1923
Burgos;Burgos;Real Burgos Club de Fútbol;1985
Albacete;Albacete;Albacete Balompié;1940
Santander;Cantabria;Real Racing Club de Santander S.A.D.;1913
Castellón de la Plana/Castelló de la Plana;Castellón/Castelló;Club Deportivo Castellón;1922
Alcorcón;Madrid;Atlético de Madrid;1903
San Cristóbal de La Laguna;Santa Cruz de Tenerife;Club Deportivo Tenerife;1912
Logroño;Rioja, La;Club Deportivo Logroño;1922
Badajoz;Badajoz;Club Deportivo Badajoz;1905
Salamanca;Salamanca;Unionistas de Salamanca Club de Fútbol;2013
Huelva;Huelva;Real Club Recreativo de Huelva;1889
Marbella;Málaga;Marbella Fútbol Club;1997
Lleida;Lleida;Unió Esportiva Lleida;1939
Tarragona;Tarragona;Club Gimnàstic de Tarragona S.A.D.;1886
