Nombre;Provincia;Plato Típico
Albacete;Albacete;Atascaburras
Hellín;Albacete;Atascaburras
Villarrobledo;Albacete;Atascaburras
Almansa;Albacete;Atascaburras
Roda, La;Albacete;Atascaburras
Caudete;Albacete;Atascaburras
Tobarra;Albacete;Atascaburras
Tarazona de la Mancha;Albacete;Atascaburras
Madrigueras;Albacete;Atascaburras
Casas-Ibáñez;Albacete;Atascaburras
Chinchilla de Monte-Aragón;Albacete;Atascaburras
Villamalea;Albacete;Atascaburras
Elche de la Sierra;Albacete;Atascaburras
Munera;Albacete;Atascaburras
Pozo Cañada;Albacete;Atascaburras
Bonillo, El;Albacete;Atascaburras
Yeste;Albacete;Atascaburras
Gineta, La;Albacete;Atascaburras
Fuente-Álamo;Albacete;Atascaburras
Balazote;Albacete;Atascaburras
Ossa de Montiel;Albacete;Atascaburras
Alpera;Albacete;Atascaburras
Montealegre del Castillo;Albacete;Atascaburras
Valdeganga;Albacete;Atascaburras
Ontur;Albacete;Atascaburras
Barrax;Albacete;Atascaburras
Fuentealbilla;Albacete;Atascaburras
Socovos;Albacete;Atascaburras
Pozohondo;Albacete;Atascaburras
Minaya;Albacete;Atascaburras
Peñas de San Pedro;Albacete;Atascaburras
Mahora;Albacete;Atascaburras
Lezuza;Albacete;Atascaburras
Alcaraz;Albacete;Atascaburras
Riópar;Albacete;Atascaburras
Casas de Juan Núñez;Albacete;Atascaburras
San Pedro;Albacete;Atascaburras
Nerpio;Albacete;Atascaburras
Cenizate;Albacete;Atascaburras
Liétor;Albacete;Atascaburras
Alcalá del Júcar;Albacete;Atascaburras
Higueruela;Albacete;Atascaburras
Villalgordo del Júcar;Albacete;Atascaburras
Bonete;Albacete;Atascaburras
Letur;Albacete;Atascaburras
Molinicos;Albacete;Atascaburras
Bogarra;Albacete;Atascaburras
Abengibre;Albacete;Atascaburras
Albatana;Albacete;Atascaburras
Pétrola;Albacete;Atascaburras
Alborea;Albacete;Atascaburras
Alcadozo;Albacete;Atascaburras
Hoya-Gonzalo;Albacete;Atascaburras
Férez;Albacete;Atascaburras
Ayna;Albacete;Atascaburras
Bienservida;Albacete;Atascaburras
Villapalacios;Albacete;Atascaburras
Casas de Ves;Albacete;Atascaburras
Motilleja;Albacete;Atascaburras
Alatoz;Albacete;Atascaburras
Navas de Jorquera;Albacete;Atascaburras
Carcelén;Albacete;Atascaburras
Pozuelo;Albacete;Atascaburras
Salobre;Albacete;Atascaburras
Povedilla;Albacete;Atascaburras
Pozo-Lorente;Albacete;Atascaburras
Ballestero, El;Albacete;Atascaburras
Robledo;Albacete;Atascaburras
Casas de Lázaro;Albacete;Atascaburras
Jorquera;Albacete;Atascaburras
Paterna del Madera;Albacete;Atascaburras
Vianos;Albacete;Atascaburras
Villaverde de Guadalimar;Albacete;Atascaburras
Viveros;Albacete;Atascaburras
Peñascosa;Albacete;Atascaburras
Herrera, La;Albacete;Atascaburras
Corral-Rubio;Albacete;Atascaburras
Fuensanta;Albacete;Atascaburras
Recueja, La;Albacete;Atascaburras
Villavaliente;Albacete;Atascaburras
Balsa de Ves;Albacete;Atascaburras
Cotillas;Albacete;Atascaburras
Masegoso;Albacete;Atascaburras
Villatoya;Albacete;Atascaburras
Golosalvo;Albacete;Atascaburras
Montalvos;Albacete;Atascaburras
Villa de Ves;Albacete;Atascaburras
Alicante/Alacant;Alicante/Alacant;Arroz al Horno
Elche/Elx;Alicante/Alacant;Arroz al Horno
Torrevieja;Alicante/Alacant;Arroz al Horno
Orihuela;Alicante/Alacant;Arroz al Horno
Benidorm;Alicante/Alacant;Arroz al Horno
Alcoy/Alcoi;Alicante/Alacant;Arroz al Horno
San Vicente del Raspeig/Sant Vicent del Raspeig;Alicante/Alacant;Arroz al Horno
Elda;Alicante/Alacant;Arroz al Horno
Dénia;Alicante/Alacant;Arroz al Horno
Villajoyosa/Vila Joiosa, la;Alicante/Alacant;Arroz al Horno
Petrer;Alicante/Alacant;Arroz al Horno
Villena;Alicante/Alacant;Arroz al Horno
Santa Pola;Alicante/Alacant;Arroz al Horno
Crevillent;Alicante/Alacant;Arroz al Horno
Campello, el;Alicante/Alacant;Arroz al Horno
Jávea/Xàbia;Alicante/Alacant;Arroz al Horno
Novelda;Alicante/Alacant;Arroz al Horno
Mutxamel;Alicante/Alacant;Arroz al Horno
Sant Joan d'Alacant;Alicante/Alacant;Arroz al Horno
Ibi;Alicante/Alacant;Arroz al Horno
